EXECUTIVE/CREATIVE DIRECTOR,PRODUCTION,MARKETING,PROGRAMMING,NARRATIVE DESIGN,MECHANICS DESIGN,ART,SOUND,QUALITY ASSURANCE,SPECIAL THANKS
Pat King,Chandra Hughes - Lead,Brandon King,Isaiah Mann - Lead,Gabriella Oddo - Lead,Sean Billson - Lead,Logan Graham - Lead,Brian Brody - Lead,Holden Ross,Hampshire College
,Brandon King,,Donna Pan,Sienna Cornsih,Caleb Finkelstein,Ivana Yang,,,Unity
,,,Joel Esquilin,,Elijah Palmer,Bryan Prieto,,,WoodPenny
,,,Kaya Ni,,Jonathan Kittell-Queller,,,,Ira Fay
,,,Michael Forrest,,Noah Cohen,,,,Al Brennan
,,,Noah Cohen,,,,,,Kevin Kohler
,,,Sienna Cornish,,,,,,Josiah Erikson
,,,,,,,,,Black Beard
,,,,,,,,,Chester Copperpot
,,,,,,,,,Oranges
,,,,,,,,,Tropicana
